feature,coefficient,std_error,z_score,p_value,odds_ratio
const,0.16766226863334696,1.0529018459108777,0.15923827020010625,0.8734811532626939,1.182537163306378
curvature_score,-1.2051547818901152,0.3202820063683945,-3.7627926574929815,0.00016802650340175132,0.29964561620884966
density,-0.14855514758154245,0.2112373831872088,-0.7032616355121465,0.4818927145354347,0.8619524712655708
centrality,-3.619712765937652,1.0991700352962093,-3.293132681662119,0.00099077707107137,0.026790370494544528
local_id,3.7333021675547645e-05,0.0017261608898500164,0.0216277763533337,0.9827448763851426,1.0000373337185615
